"1"	"type"	"What is Lisa's favorite cartoon?"	""	""	""	""	"The Happy Little Elves (If you said ""Itchy and Scratchy,"" you are also right.)"	""
"2"	"type"	"What is Bart's favorite cartoon?"	""	""	""	""	"Itchy and Scratchy"	""
"3"	"type"	"Who is Lisa's musical idol?"	""	""	""	""	"Bleedin' Gums Murphy"	""
"4"	"type"	"What is the school Principal's name?"	""	""	""	""	"Seymour Skinner"	""
"5"	"type"	"What are the names of Marge's sisters?"	""	""	""	""	"Patty and Selma"	""
"6"	"type"	"Which one has devoted her life to celibacy?"	""	""	""	""	"Patty"	""
"7"	"type"	"What is the name of the convenience store clerk?"	""	""	""	""	"Apu"	""
"8"	"type"	"What does Krusty the Clown endorse?"	""	""	""	""	"Pork Products"	""
"9"	"type"	"What is the name of Homer's favorite Bar?"	""	""	""	""	"Moe's Tavern"	""
"10"	"type"	"What is the full name of the founder of Springfield?"	""	""	""	""	"Jebadiah Obediah Zacharia Jedediah Springfield"	""
"11"	"type"	"What was the name of the three-eyed fish?"	""	""	""	""	"Blinky"	""
"12"	"type"	"What is Marge's maiden name?"	""	""	""	""	"Bouvier"	""
"13"	"type"	"What is Homer's favorite food?"	""	""	""	""	"Pork Chops"	""
"14"	"type"	"What is Homer's boss's name?"	""	""	""	""	"Charles Montgomery Burns"	""
"15"	"type"	"What was his (Homer's boss) campaign jingle?"	""	""	""	""	"""Only a moron wouldn't cast his vote for Monty Burns!"""	""
"16"	"type"	"What is the Simpson's dog's name?"	""	""	""	""	"Santa's Little Helper"	""
"17"	"type"	"What was the name of the space aliens' book?"	""	""	""	""	"How to Cook for Forty Humans"	""
"18"	"type"	"What instrument does Lisa play?"	""	""	""	""	"Saxophone"	""
"19"	"type"	"Who was the voice of Homer's half-brother?"	""	""	""	""	"Danny DeVito"	""
"20"	"type"	"What did Bart's tattoo say?"	""	""	""	""	"MOTH"	""
"21"	"type"	"What is Homer's favorite Beer?"	""	""	""	""	"Duff"	""
"22"	"type"	"Who wrote the theme music?"	""	""	""	""	"Danny Elfman"	""
"23"	"type"	"What is the Bus driver's name?"	""	""	""	""	"Otto"	""
"24"	"type"	"What is '20 tons and 4 stories of car crunching, firebreathing,prehistoric insanity'?"	""	""	""	""	"Truckasaurus"	""
"25"	"type"	"How old is Bart?"	""	""	""	""	"10"	""
"26"	"type"	"What did Bart and Lisa sing in the Karaoke bar in the sushirestaurant?"	""	""	""	""	"Theme song to 'Shaft'"	""
"27"	"type"	"How did Bart get kicked out of heaven?"	""	""	""	""	"Spit over the side of the escalator"	""
